Date,China,US,United_Kingdom,Italy,France,Germany,Spain,Iran
2020-01-22,17,0,0,0,0,0,0,0
2020-01-23,17,0,0,0,0,0,0,0
2020-01-24,26,0,0,0,0,0,0,0
2020-01-25,41,0,0,0,0,0,0,0
2020-01-26,56,0,0,0,0,0,0,0
2020-01-27,81,0,0,0,0,0,0,0
2020-01-28,106,0,0,0,0,0,0,0
2020-01-29,132,0,0,0,0,0,0,0
2020-01-30,170,0,0,0,0,0,0,0
2020-01-31,213,0,0,0,0,0,0,0
2020-02-01,259,0,0,0,0,0,0,0
2020-02-02,304,0,0,0,0,0,0,0
2020-02-03,361,0,0,0,0,0,0,0
2020-02-04,426,0,0,0,0,0,0,0
2020-02-05,492,0,0,0,0,0,0,0
2020-02-06,564,0,0,0,0,0,0,0
2020-02-07,637,0,0,0,0,0,0,0
2020-02-08,723,0,0,0,0,0,0,0
2020-02-09,812,0,0,0,0,0,0,0
2020-02-10,909,0,0,0,0,0,0,0
2020-02-11,1017,0,0,0,0,0,0,0
2020-02-12,1114,0,0,0,0,0,0,0
2020-02-13,1368,0,0,0,0,0,0,0
2020-02-14,1381,0,0,0,0,0,0,0
2020-02-15,1524,0,0,0,1,0,0,0
2020-02-16,1666,0,0,0,1,0,0,0
2020-02-17,1771,0,0,0,1,0,0,0
2020-02-18,1869,0,0,0,1,0,0,0
2020-02-19,2008,0,0,0,1,0,0,2
2020-02-20,2120,0,0,0,1,0,0,2
2020-02-21,2238,0,0,1,1,0,0,4
2020-02-22,2347,0,0,2,1,0,0,5
2020-02-23,2445,0,0,3,1,0,0,8
2020-02-24,2595,0,0,7,1,0,0,12
2020-02-25,2665,0,0,10,1,0,0,16
2020-02-26,2717,0,0,12,1,0,0,19
2020-02-27,2746,0,0,17,2,0,0,26
2020-02-28,2790,0,0,21,2,0,0,34
2020-02-29,2837,0,0,29,2,0,0,43
2020-03-01,2872,1,0,34,2,0,0,54
2020-03-02,2914,3,0,52,2,0,0,66
2020-03-03,2946,6,0,79,3,0,1,77
2020-03-04,2983,10,0,107,4,0,2,92
2020-03-05,3014,12,0,148,4,0,3,107
2020-03-06,3044,12,1,197,7,0,5,124
2020-03-07,3072,15,1,233,9,0,10,145
2020-03-08,3099,19,2,366,10,0,17,194
2020-03-09,3122,22,3,463,19,2,28,237
2020-03-10,3139,26,5,631,30,2,35,291
2020-03-11,3161,31,6,827,33,3,54,354
2020-03-12,3172,37,6,827,48,3,55,429
2020-03-13,3179,43,10,1266,61,7,133,514
2020-03-14,3194,50,10,1441,79,9,195,611
2020-03-15,3203,60,21,1809,91,11,289,724
2020-03-16,3216,68,35,2158,127,17,342,853
2020-03-17,3225,91,55,2503,148,24,533,988
2020-03-18,3241,116,60,2978,175,28,623,1135
2020-03-19,3249,157,103,3405,244,44,830,1284
2020-03-20,3253,203,144,4032,372,67,1043,1433
2020-03-21,3259,264,177,4825,450,84,1375,1556
2020-03-22,3265,343,233,5476,562,94,1772,1685
2020-03-23,3274,435,281,6077,674,123,2311,1812
2020-03-24,3281,550,335,6820,860,157,2808,1934
2020-03-25,3285,731,422,7503,1100,206,3647,2077
2020-03-26,3291,989,463,8215,1331,267,4365,2234
2020-03-27,3296,1275,578,9134,1696,342,5138,2378
2020-03-28,3299,1648,759,10023,1995,433,5982,2517
2020-03-29,3304,2134,1019,10779,2314,533,6803,2640
2020-03-30,3306,2487,1228,11591,2606,645,7716,2757
2020-03-31,3309,3068,1408,12428,3024,775,8464,2898
2020-04-01,3310,3911,1789,13155,3523,920,9387,3036
2020-04-02,3316,4841,2532,13915,4032,1107,10348,3160
2020-04-03,3326,5952,2921,14681,4503,1275,11198,3294
2020-04-04,3330,7121,3605,15362,6507,1444,11947,3452
2020-04-05,3333,8499,4313,15887,7560,1584,12641,3603
2020-04-06,3335,9654,4934,16523,8078,1810,13341,3739
2020-04-07,3335,10958,5373,17127,8911,2016,14045,3872
2020-04-08,3337,12957,6159,17669,10328,2349,14792,3993
2020-04-09,3339,14803,7097,18279,10869,2607,15447,4110
2020-04-10,3340,16673,7978,18849,12210,2767,16081,4232
2020-04-11,3343,18710,8958,19468,13197,2736,16606,4357
2020-04-12,3343,20574,9875,19899,13832,3022,17209,4474
2020-04-13,3345,22055,10612,20465,14393,3194,17756,4585
2020-04-14,3345,23606,11329,21067,14967,3294,18056,4683
2020-04-15,3346,26080,12107,21645,15729,3804,18708,4777
2020-04-16,3346,28582,12868,22170,17167,4052,19315,4869
2020-04-17,4636,30723,13729,22745,17920,4352,20002,4958
2020-04-18,4636,32910,14576,23227,18681,4459,20043,5031
2020-04-19,4636,34726,15464,23660,19323,4586,20453,5118
2020-04-20,4636,36109,16060,24114,19718,4862,20852,5209
2020-04-21,4636,37795,16509,24648,20265,5033,21282,5297
2020-04-22,4636,40316,17337,25085,20796,5279,21717,5391
2020-04-23,4636,42495,18100,25549,21340,5575,22157,5481
2020-04-24,4636,44516,18738,25969,21856,5760,22524,5574
2020-04-25,4636,46503,19506,26384,22245,5877,22902,5650
2020-04-26,4636,48325,20319,26644,22614,5976,23190,5710
2020-04-27,4637,49464,20732,26977,22856,6126,23521,5806